,Survived,Pclass,Age,SibSp,Parch,Gender
0,0,3,22.0,1,0,0
1,1,1,38.0,1,0,1
2,1,3,26.0,0,0,1
3,1,1,35.0,1,0,1
4,0,3,35.0,0,0,0
5,0,3,,0,0,0
6,0,1,54.0,0,0,0
7,0,3,2.0,3,1,0
8,1,3,27.0,0,2,1
9,1,2,14.0,1,0,1
10,1,3,4.0,1,1,1
11,1,1,58.0,0,0,1
12,0,3,20.0,0,0,0
13,0,3,39.0,1,5,0
14,0,3,14.0,0,0,1
15,1,2,55.0,0,0,1
16,0,3,2.0,4,1,0
17,1,2,,0,0,0
18,0,3,31.0,1,0,1
19,1,3,,0,0,1
20,0,2,35.0,0,0,0
21,1,2,34.0,0,0,0
22,1,3,15.0,0,0,1
23,1,1,28.0,0,0,0
24,0,3,8.0,3,1,1
25,1,3,38.0,1,5,1
26,0,3,,0,0,0
27,0,1,19.0,3,2,0
28,1,3,,0,0,1
29,0,3,,0,0,0
30,0,1,40.0,0,0,0
31,1,1,,1,0,1
32,1,3,,0,0,1
33,0,2,66.0,0,0,0
34,0,1,28.0,1,0,0
35,0,1,42.0,1,0,0
36,1,3,,0,0,0
37,0,3,21.0,0,0,0
38,0,3,18.0,2,0,1
39,1,3,14.0,1,0,1
40,0,3,40.0,1,0,1
41,0,2,27.0,1,0,1
42,0,3,,0,0,0
43,1,2,3.0,1,2,1
44,1,3,19.0,0,0,1
45,0,3,,0,0,0
46,0,3,,1,0,0
47,1,3,,0,0,1
48,0,3,,2,0,0
49,0,3,18.0,1,0,1
50,0,3,7.0,4,1,0
51,0,3,21.0,0,0,0
52,1,1,49.0,1,0,1
53,1,2,29.0,1,0,1
54,0,1,65.0,0,1,0
55,1,1,,0,0,0
56,1,2,21.0,0,0,1
57,0,3,28.5,0,0,0
58,1,2,5.0,1,2,1
59,0,3,11.0,5,2,0
60,0,3,22.0,0,0,0
61,1,1,38.0,0,0,1
62,0,1,45.0,1,0,0
63,0,3,4.0,3,2,0
64,0,1,,0,0,0
65,1,3,,1,1,0
66,1,2,29.0,0,0,1
67,0,3,19.0,0,0,0
68,1,3,17.0,4,2,1
69,0,3,26.0,2,0,0
70,0,2,32.0,0,0,0
71,0,3,16.0,5,2,1
72,0,2,21.0,0,0,0
73,0,3,26.0,1,0,0
74,1,3,32.0,0,0,0
75,0,3,25.0,0,0,0
76,0,3,,0,0,0
77,0,3,,0,0,0
78,1,2,0.83,0,2,0
79,1,3,30.0,0,0,1
80,0,3,22.0,0,0,0
81,1,3,29.0,0,0,0
82,1,3,,0,0,1
83,0,1,28.0,0,0,0
84,1,2,17.0,0,0,1
85,1,3,33.0,3,0,1
86,0,3,16.0,1,3,0
87,0,3,,0,0,0
88,1,1,23.0,3,2,1
89,0,3,24.0,0,0,0
90,0,3,29.0,0,0,0
91,0,3,20.0,0,0,0
92,0,1,46.0,1,0,0
93,0,3,26.0,1,2,0
94,0,3,59.0,0,0,0
95,0,3,,0,0,0
96,0,1,71.0,0,0,0
97,1,1,23.0,0,1,0
98,1,2,34.0,0,1,1
99,0,2,34.0,1,0,0
100,0,3,28.0,0,0,1
101,0,3,,0,0,0
102,0,1,21.0,0,1,0
103,0,3,33.0,0,0,0
104,0,3,37.0,2,0,0
105,0,3,28.0,0,0,0
